"datasetID","nombreInstitucion_snib","nombreColeccion_snib","cuerpoAgua_snib","isla_snib","pais_snib","validacionPais_snib","estadoProvincia_snib","validacionEstado_snib","condadoMunicipio_snib","validacionMunicipio_snib","validacionLocalidad_snib","datumGeodesico_snib","nombreCientifico_snib","nombreDeacuerdoCon_snib","nombrePublicadoEnAnio_snib","reino_snib","phylum_snib","clase_snib","orden_snib","familia_snib","genero_snib","subgenero_snib","epitetoespecifico_snib","epitetoinfraespecifico_snib","autoridadNombreCientifico_snib","estatusTaxonomico_snib"
"0bc65497046144443885e3e2b3c1af8c","Instituto de Investigaciones de Zonas Desérticas, Universidad Autónoma de San Luis Potosí","Herbario Isidro Palacios","","","MEXICO","VALIDO","NAYARIT","VALIDO","SANTIAGO IXCUINTLA","VALIDO","NO PROCESADO","","Ziziphus amole","Hauenschild, Matuszak, Muellner-Riehl & Favre, 2016","1963","Plantae","Tracheophyta","Equisetopsida","Rosales","Rhamnaceae","Ziziphus","","amole","","(Sessé & Moc.) M.C. Johnst., 1963","sinónimo"
"fb26ad8039a07db700b880fcdbae60a4","Instituto de Investigaciones de Zonas Desérticas, Universidad Autónoma de San Luis Potosí","Herbario Isidro Palacios","","","MEXICO","VALIDO","NAYARIT","VALIDO","SANTIAGO IXCUINTLA","VALIDO","NO PROCESADO","","Cyperus odoratus","González-Elizondo, Reznicek & Tena-Flores, 2018","1753","Plantae","Tracheophyta","Equisetopsida","Poales","Cyperaceae","Cyperus","","odoratus","","L., 1753","aceptado"
"eec986137f2961b0ddba3df73b0cfb54","Instituto de Investigaciones de Zonas Desérticas, Universidad Autónoma de San Luis Potosí","Herbario Isidro Palacios","","","MEXICO","VALIDO","NAYARIT","VALIDO","SANTIAGO IXCUINTLA","VALIDO","NO PROCESADO","","Eleocharis mutata","González-Elizondo, Reznicek & Tena-Flores, 2018","1817","Plantae","Tracheophyta","Equisetopsida","Poales","Cyperaceae","Eleocharis","","mutata","","(L.) Roem. & Schult., 1817","aceptado"
"64bbe358520c88ecdfffe4c85cb41a37","Instituto de Investigaciones de Zonas Desérticas, Universidad Autónoma de San Luis Potosí","Herbario Isidro Palacios","","","MEXICO","VALIDO","NAYARIT","VALIDO","TECUALA","VALIDO","NO PROCESADO","","Eriochloa aristata","Dávila, Mejía-Saulés, Soriano-Martínez & Herrera-Arrieta, 2018","1886","Plantae","Tracheophyta","Equisetopsida","Poales","Poaceae","Eriochloa","","aristata","","Vasey, 1886","aceptado"
"947daf23d8c68462351e6396ab8e042d","Instituto de Investigaciones de Zonas Desérticas, Universidad Autónoma de San Luis Potosí","Herbario Isidro Palacios","","","MEXICO","VALIDO","NAYARIT","VALIDO","SANTIAGO IXCUINTLA","VALIDO","NO PROCESADO","","Lasiacis ruscifolia","Dávila, Mejía-Saulés, Soriano-Martínez & Herrera-Arrieta, 2018","1911","Plantae","Tracheophyta","Equisetopsida","Poales","Poaceae","Lasiacis","","ruscifolia","","(Kunth) Hitchc., 1911","aceptado"
"b4366cc5c88c329f21776c60d91ca88c","Instituto de Investigaciones de Zonas Desérticas, Universidad Autónoma de San Luis Potosí","Herbario Isidro Palacios","GOLFO DE CALIFORNIA","PANALES; ESTERO AGUA BRAVA","MEXICO","VALIDO","NAYARIT","VALIDO","TECUALA","VALIDO","NO PROCESADO","","Fimbristylis spadicea","González-Elizondo, Reznicek & Tena-Flores, 2018","1805","Plantae","Tracheophyta","Equisetopsida","Poales","Cyperaceae","Fimbristylis","","spadicea","","(L.) Vahl, 1805","aceptado"
"4519f74a6cc2b8e12b0cb96c33d85155","Instituto de Investigaciones de Zonas Desérticas, Universidad Autónoma de San Luis Potosí","Herbario Isidro Palacios","GOLFO DE CALIFORNIA","PANALES; ESTERO AGUA BRAVA","MEXICO","VALIDO","NAYARIT","VALIDO","TECUALA","VALIDO","NO PROCESADO","","Plumeria rubra","Juárez-Jaimes, Alvarado-Cárdenas & Villaseñor, 2007","1753","Plantae","Tracheophyta","Equisetopsida","Gentianales","Apocynaceae","Plumeria","","rubra","","L., 1753","aceptado"
"654c1233f8a50c39b9089e7a8e664df8","Instituto de Investigaciones de Zonas Desérticas, Universidad Autónoma de San Luis Potosí","Herbario Isidro Palacios","GOLFO DE CALIFORNIA","PANALES; ESTERO AGUA BRAVA","MEXICO","VALIDO","NAYARIT","VALIDO","TECUALA","VALIDO","NO PROCESADO","","Bursera simaruba","Rzedowski, Medina & Calderón, 2005","1890","Plantae","Tracheophyta","Equisetopsida","Sapindales","Burseraceae","Bursera","","simaruba","","(L.) Sarg., 1890","aceptado"
"35834d56af020a50969adc58d9686beb","Instituto de Investigaciones de Zonas Desérticas, Universidad Autónoma de San Luis Potosí","Herbario Isidro Palacios","GOLFO DE CALIFORNIA","PANALES; ESTERO AGUA BRAVA","MEXICO","VALIDO","NAYARIT","VALIDO","TECUALA","VALIDO","NO PROCESADO","","Acacia acatlensis","Hernández, Ricker, Rodríguez Rivera, Castillo Santiago, Hernández Juárez & Hernández, 2020","1842","Plantae","Tracheophyta","Equisetopsida","Fabales","Fabaceae","Acacia","","acatlensis","","Benth., 1842","aceptado"
"75e61ecd5dd11f84acb9a8e02fe9f327","Instituto de Investigaciones de Zonas Desérticas, Universidad Autónoma de San Luis Potosí","Herbario Isidro Palacios","","","MEXICO","VALIDO","NAYARIT","VALIDO","TECUALA","VALIDO","NO PROCESADO","","Ziziphus amole","Hauenschild, Matuszak, Muellner-Riehl & Favre, 2016","1963","Plantae","Tracheophyta","Equisetopsida","Rosales","Rhamnaceae","Ziziphus","","amole","","(Sessé & Moc.) M.C. Johnst., 1963","sinónimo"
